iter	Passed	Remaining
302	504	1160
303	505	1157
304	507	1155
305	508	1153
306	510	1151
307	511	1149
308	513	1147
309	514	1145
310	516	1144
311	518	1142
312	519	1140
313	521	1138
314	523	1137
315	524	1135
316	526	1134
317	527	1132
318	529	1130
319	530	1128
320	532	1126
321	534	1124
322	535	1123
323	537	1121
324	539	1119
325	540	1117
326	542	1116
327	543	1114
328	545	1112
329	547	1110
330	548	1108
331	550	1106
332	551	1104
333	553	1103
334	554	1101
335	556	1100
336	558	1098
337	559	1096
338	561	1094
339	563	1092
340	564	1091
341	566	1089
342	568	1088
343	569	1086
344	571	1084
345	573	1083
346	574	1081
347	576	1080
348	578	1078
349	579	1076
350	581	1074
351	582	1073
352	584	1071
353	586	1069
354	587	1067
355	589	1066
356	590	1064
357	592	1062
358	593	1060
359	595	1058
360	596	1056
361	598	1055
362	600	1053
363	601	1051
364	603	1049
365	605	1048
366	607	1047
367	608	1045
368	610	1043
369	611	1041
370	613	1040
371	615	1038
372	617	1037
373	618	1035
374	620	1033
375	621	1032
376	624	1031
377	625	1029
378	627	1028
379	629	1026
380	630	1024
381	632	1023
382	634	1022
383	636	1020
384	637	1018
385	639	1017
386	641	1016
387	643	1014
388	644	1012
389	646	1011
390	647	1009
391	649	1007
392	651	1005
393	652	1003
394	654	1001
395	655	1000
396	657	998
397	659	996
398	660	995
399	662	993
400	663	991
401	665	989
402	667	988
403	668	986
404	670	984
405	671	982
406	673	981
407	675	979
408	676	977
409	678	976
410	680	975
411	682	973
412	683	972
413	685	970
414	687	969
415	688	967
416	690	965
417	691	963
418	693	961
419	694	959
420	696	957
421	697	956
422	699	954
423	701	952
424	702	950
425	704	949
426	706	947
427	707	945
428	709	943
429	710	942
430	712	940
431	713	938
432	715	936
433	717	935
434	718	933
435	720	932
436	722	930
437	723	928
438	725	926
439	726	924
440	728	923
441	729	921
442	731	919
443	732	917
444	734	916
445	736	914
446	737	912
447	739	911
448	741	909
449	743	908
450	744	906
451	746	904
452	747	902
453	749	901
454	751	899
455	752	897
456	754	895
457	756	894
458	757	892
459	759	891
460	760	889
461	762	887
462	763	885
463	765	884
464	766	882
465	768	880
466	769	878
467	771	876
468	773	875
469	774	873
470	776	871
471	777	870
472	779	868
473	780	866
474	782	864
475	784	863
476	785	861
477	787	859
478	788	857
479	790	856
480	791	854
481	793	852
482	795	851
483	796	849
484	798	847
485	800	846
486	802	845
487	803	843
488	805	841
489	806	839
490	808	838
491	809	836
492	811	834
493	813	833
494	815	831
495	816	829
496	818	828
497	819	826
498	821	825
499	823	823
500	824	821
501	826	819
502	827	818
503	829	816
504	831	815
505	832	813
506	834	811
507	835	809
508	837	807
509	838	806
510	840	804
511	842	802
512	843	800
513	845	799
514	846	797
515	848	795
516	849	793
517	851	791
518	852	790
519	854	788
520	855	786
521	857	784
522	858	783
523	860	781
524	862	779
525	863	778
526	865	777
527	867	775
528	868	773
529	870	772
530	872	770
531	873	768
532	875	766
533	877	765
534	879	764
535	880	762
536	882	760
537	883	758
538	885	757
539	886	755
540	888	753
541	889	751
542	891	750
543	892	748
544	895	747
545	896	745
546	898	744
547	900	742
548	902	741
549	903	739
550	905	737
551	907	736
552	908	734
553	909	732
554	912	731
555	913	729
556	915	728
557	917	726
558	918	724
559	920	723
560	921	721
561	923	719
562	924	717
563	926	716
564	928	714
565	929	713
566	931	711
567	933	709
568	934	708
569	936	706
570	937	704
571	939	703
572	941	701
573	942	699
574	944	697
575	945	696
576	947	694
577	948	692
578	950	691
579	952	689
580	954	688
581	955	686
582	957	684
583	958	682
584	960	681
585	961	679
586	963	677
587	964	676
588	966	674
589	968	673
590	970	671
591	972	669
592	973	668
593	975	666
594	977	665
595	979	663
596	981	662
597	982	660
598	984	658
599	985	657
600	987	655
601	988	653
602	990	652
603	992	650
604	993	648
605	995	647
606	996	645
607	998	643
608	1000	642
609	1002	640
610	1004	639
611	1005	637
612	1007	636
613	1009	634
614	1010	632
615	1012	631
616	1014	629
617	1015	628
618	1017	626
619	1019	624
620	1020	622
621	1022	621
622	1023	619
623	1025	617
624	1027	616
625	1028	614
626	1030	612
627	1032	611
628	1033	609
629	1035	607
630	1036	606
631	1038	604
632	1040	603
633	1042	601
634	1043	599
635	1045	598
636	1046	596
637	1048	594
638	1049	593
639	1051	591
640	1052	589
641	1054	587
642	1055	586
643	1057	584
644	1059	583
645	1060	581
646	1062	579
647	1063	577
648	1065	576
649	1067	574
650	1069	573
651	1070	571
652	1072	569
653	1073	568
654	1075	566
655	1077	565
656	1079	563
657	1080	561
658	1082	560
659	1084	558
660	1085	556
661	1087	555
662	1088	553
663	1090	551
664	1092	550
665	1093	548
666	1095	546
667	1096	545
668	1098	543
669	1100	542
670	1101	540
671	1103	538
672	1104	536
673	1106	535
674	1108	533
675	1110	532
676	1111	530
677	1113	528
678	1115	527
679	1116	525
680	1118	523
681	1120	522
682	1121	520
683	1123	518
684	1124	517
685	1126	515
686	1128	513
687	1129	512
688	1130	510
689	1132	508
690	1134	507
691	1136	505
692	1137	504
693	1139	502
694	1141	500
695	1142	499
696	1144	497
697	1145	495
698	1147	494
699	1149	492
700	1151	491
701	1152	489
702	1154	487
703	1156	486
704	1157	484
705	1159	482
706	1161	481
707	1163	479
708	1164	478
709	1166	476
710	1168	474
711	1169	473
712	1171	471
713	1173	470
714	1175	468
715	1177	466
716	1178	465
717	1180	463
718	1181	461
719	1183	460
720	1184	458
721	1186	456
722	1187	455
723	1189	453
724	1191	451
725	1192	450
726	1194	448
727	1196	446
728	1197	445
729	1199	443
730	1200	441
731	1202	440
732	1204	438
733	1206	437
734	1207	435
735	1209	433
736	1211	432
737	1212	430
738	1214	428
739	1216	427
740	1217	425
741	1219	423
742	1220	422
743	1222	420
744	1224	419
745	1226	417
746	1227	415
747	1229	414
748	1231	412
749	1232	410
750	1234	409
751	1235	407
752	1237	405
753	1238	404
754	1240	402
755	1242	400
756	1243	399
757	1244	397
758	1246	395
759	1247	394
760	1249	392
761	1250	390
762	1252	388
763	1253	387
764	1255	385
765	1256	383
766	1258	382
767	1259	380
768	1261	378
769	1263	377
770	1264	375
771	1266	373
772	1267	372
773	1269	370
774	1270	368
775	1272	367
776	1273	365
777	1275	363
778	1277	362
779	1278	360
780	1280	358
781	1281	357
782	1283	355
783	1285	354
784	1286	352
785	1288	350
786	1290	349
787	1291	347
788	1293	345
789	1294	344
790	1296	342
791	1297	340
792	1299	339
793	1300	337
794	1302	335
795	1304	334
796	1305	332
797	1307	330
798	1308	329
799	1310	327
800	1312	325
801	1313	324
802	1315	322
803	1316	320
804	1318	319
805	1319	317
806	1321	316
807	1323	314
808	1325	312
809	1327	311
810	1328	309
811	1330	308
812	1332	306
813	1333	304
814	1335	303
815	1337	301
816	1339	299
817	1341	298
818	1342	296
819	1344	295
820	1346	293
821	1347	291
822	1349	290
823	1350	288
824	1352	286
825	1354	285
826	1355	283
827	1356	281
828	1358	280
829	1360	278
830	1362	277
831	1363	275
832	1365	273
833	1366	272
834	1368	270
835	1370	268
836	1371	267
837	1373	265
838	1374	263
839	1376	262
840	1377	260
841	1379	258
842	1381	257
843	1382	255
844	1383	253
845	1385	252
846	1386	250
847	1388	248
848	1390	247
849	1391	245
850	1393	243
851	1394	242
852	1396	240
853	1397	238
854	1399	237
855	1400	235
856	1402	234
857	1404	232
858	1406	230
859	1407	229
860	1409	227
861	1411	225
862	1412	224
863	1414	222
864	1415	220
865	1417	219
866	1419	217
867	1421	216
868	1422	214
869	1424	212
870	1426	211
871	1427	209
872	1429	207
873	1431	206
874	1433	204
875	1434	203
876	1436	201
877	1438	199
878	1440	198
879	1442	196
880	1443	195
881	1445	193
882	1446	191
883	1448	190
884	1449	188
885	1451	186
886	1453	185
887	1455	183
888	1456	181
889	1458	180
890	1459	178
891	1461	176
892	1462	175
893	1464	173
894	1465	171
895	1467	170
896	1469	168
897	1470	167
898	1472	165
899	1474	163
900	1475	162
901	1477	160
902	1478	158
903	1480	157
904	1482	155
905	1483	153
906	1485	152
907	1486	150
908	1488	149
909	1489	147
910	1492	145
911	1493	144
912	1495	142
913	1496	140
914	1498	139
915	1500	137
916	1501	135
917	1503	134
918	1505	132
919	1506	131
920	1508	129
921	1509	127
922	1511	126
923	1512	124
924	1514	122
925	1515	121
926	1517	119
927	1519	117
928	1520	116
929	1522	114
930	1524	112
931	1525	111
932	1527	109
933	1528	108
934	1530	106
935	1532	104
936	1533	103
937	1535	101
938	1537	99
939	1539	98
940	1540	96
941	1542	94
942	1544	93
943	1545	91
944	1547	90
945	1548	88
946	1550	86
947	1552	85
948	1553	83
949	1555	81
950	1557	80
951	1558	78
952	1560	76
953	1562	75
954	1564	73
955	1565	72
956	1567	70
957	1569	68
958	1570	67
959	1572	65
960	1573	63
961	1575	62
962	1576	60
963	1578	58
964	1579	57
965	1581	55
966	1582	54
967	1584	52
968	1586	50
969	1587	49
970	1589	47
971	1591	45
972	1592	44
973	1594	42
974	1595	40
975	1597	39
976	1599	37
977	1601	36
978	1602	34
979	1604	32
980	1606	31
981	1608	29
982	1609	27
983	1611	26
984	1612	24
985	1614	22
986	1616	21
987	1617	19
988	1619	18
989	1620	16
990	1622	14
991	1623	13
992	1625	11
993	1627	9
994	1628	8
995	1630	6
996	1632	4
997	1633	3
998	1635	1
999	1637	0
